Missing_Rule,Imputer RMSE,Baseline RMSE
Q1_complete,0.02966,0.1094
Q1_partial,0.02195,0.09256
Q2_complete,0.03875,0.04633
Q2_partial,0.02453,0.04011
Q3_complete,0.02492,0.02824
Q3_partial,0.02631,0.02473
Q4_complete,0.04887,0.13927
Q4_partial,0.05138,0.12267
Q1_Q2_complete,0.02998,0.11773
Q1_Q2_partial,0.04189,0.08049
Q1_Q3_complete,0.04768,0.08442
Q1_Q3_partial,0.05041,0.06617
Q1_Q4_complete,0.08701,0.0971
Q1_Q4_partial,0.08221,0.09303
Q2_Q3_complete,0.02889,0.03459
Q2_Q3_partial,0.05497,0.03169
Q2_Q4_complete,0.06494,0.09835
Q2_Q4_partial,0.07572,0.08461
Q3_Q4_complete,0.05148,0.12738
Q3_Q4_partial,0.05802,0.09113
